AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn_Prob
71,1,0,0.0,3,290.4,108,71.0,12.7,10.1,1.0
105,1,0,0.0,0,281.3,124,74.0,15.08,8.7,1.0
87,1,0,0.0,2,322.5,106,73.0,10.23,9.4,1.0
111,1,0,0.0,1,294.7,90,76.0,14.73,10.8,1.0
96,1,0,0.0,1,276.9,105,69.0,12.35,10.3,1.0
113,1,0,0.0,1,272.1,111,70.0,13.43,8.5,0.9941176470588236
60,1,0,0.0,2,289.8,101,71.0,12.78,11.7,0.9941176470588236
97,1,0,0.0,4,120.8,96,35.0,8.49,11.9,0.9941176470588236
99,1,0,0.12,7,135.7,107,42.2,10.42,8.8,0.9941176470588236
82,1,0,0.0,0,329.8,73,74.0,10.42,10.6,0.9941176470588236
132,1,0,0.0,1,291.2,104,70.0,11.71,8.9,0.9941176470588236
54,1,0,0.0,1,272.6,83,68.0,12.44,9.5,0.9941176470588236
103,1,0,0.0,8,150.6,125,40.0,8.46,10.4,0.9882352941176471
74,1,0,0.0,3,314.1,86,73.0,11.12,12.3,0.9882352941176471
98,1,0,0.0,4,161.0,117,44.0,9.55,12.1,0.9882352941176471
